IDcyclist,gene_sz_lastname,gene_sz_firstname,gene_sz_firstlastname,fkIDteam,fkIDregion,fkIDcontract,fkIDprevcontract,fkIDnextcontract,gene_sz_photo,gene_i_birthdate,gene_f_popularity,gene_f_popularity_max,value_i_rank_voted,value_f_potentiel,value_f_current_ability,current_f_stage_score,fkIDrace,fkIDlaststage,fkIDcyclist_state,fkIDtype_rider,fkIDinjury,fkIDtga_skin,gene_i_size,gene_i_weight,prerace_i_cyclist,race_b_withdrawal,fkIDstaff_trainer,charac_i_plain,limit_i_plain,charac_i_mountain,limit_i_mountain,charac_i_medium_mountain,limit_i_medium_mountain,charac_i_downhilling,limit_i_downhilling,charac_i_cobble,limit_i_cobble,charac_i_timetrial,limit_i_timetrial,charac_i_prologue,limit_i_prologue,charac_i_sprint,limit_i_sprint,charac_i_acceleration,limit_i_acceleration,charac_i_endurance,limit_i_endurance,charac_i_resistance,limit_i_resistance,charac_i_recuperation,limit_i_recuperation,charac_i_hill,limit_i_hill,charac_i_baroudeur,limit_i_baroudeur,charac_bitfield_mental,charac_i_tour,charac_i_classic,fitness_i_handicap,gene_b_will_retire,fkIDtraining_camp,gene_i_dossard,gene_i_champion_bit,gene_b_nominated,CONSTANT,gene_sz_soundname,fkIDstate_roster,gene_b_inshortlist,gene_i_date_last_breakaway,gene_i_date_last_punchers,gene_ilist_fkIDfavorite_races,fkIDworkplan,bit_i_contrat_preference,value_f_capital,gene_i_ptmap,fkIDyear_progression,value_f_gain,value_i_trainingstyle,fkIDcontract_preference_preset,iContract_fidelity,iContract_refusal_cooldown,value_i_knowledge,fkIDcyclist_leader,value_i_yearneopro,gene_i_nb_total_victory,gene_i_nb_tdf,gene_i_nb_giro,gene_i_nb_vuelta,gene_i_nb_sanremo,gene_i_nb_flandres,gene_i_nb_roubaix,gene_i_nb_liege,gene_i_nb_lombardia
1978,De la Cruz,David,De la Cruz D.,97,809,0,0,0,ddelacruz,19890506,1.3,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,182,66,0,0,0,70,0,74,0,74,0,71,0,61,0,68,0,69,0,58,0,68,0,69,0,69,0,71,0,73,0,74,0,0,0,0,0,0,0,0,1,0,,De-La-Cruz_David,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2012,6,3,4,11,1,0,0,8,5
1981,Kwiatkowski,Michał,Kwiatkowski M.,2,3001,0,0,0,mkwiatkowski,19900602,0.0,0.0,0,5.0,0.0,0.0,0,0,3,0,0,0,176,68,0,0,0,73,0,69,0,72,0,81,0,72,0,74,0,76,0,69,0,73,0,72,0,73,0,72,0,74,0,69,0,0,3,3,0,0,0,0,35,0,,Kwiatkowski_Michal,0,0,0,0,"(359,25,248)",0,0,0.0,0,0,0.0,0,5,3,0,0,0,2011,32,10,1,3,12,5,2,13,6
1991,Izagirre,Ion,Izagirre I.,34,816,0,0,0,iizagirre,19890204,10.6,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,173,60,0,0,0,69,0,74,0,77,0,76,0,63,0,72,0,72,0,66,0,72,0,76,0,76,0,75,0,78,0,75,0,0,0,0,0,0,0,0,3,0,,Izagirre_Ion,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2011,18,11,3,5,3,1,2,11,11
1992,Landa,Mikel,Landa M.,10,816,0,0,0,mlanda,19891213,8.0,0.0,0,5.0,0.0,0.0,0,0,3,0,0,0,173,60,0,0,0,66,0,78,0,78,0,75,0,63,0,67,0,66,0,55,0,70,0,75,0,73,0,76,0,76,0,75,0,0,4,2,0,0,0,0,0,0,,Landa_Mikel,0,0,0,0,"(172,135,12)",0,0,0.0,0,0,0.0,0,2,2,0,0,0,2011,16,7,8,9,2,0,0,5,12
2046,Quintana,Nairo,Quintana N.,1,1101,0,0,0,nquintana,19900204,0.0,0.0,0,5.5,0.0,0.0,0,0,3,0,0,13,167,58,0,0,0,67,0,73,0,73,0,74,0,67,0,64,0,64,0,60,0,69,0,69,0,69,0,71,0,73,0,68,0,0,0,0,0,0,0,0,0,0,,Quintana_Nairo,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,51,9,4,7,0,0,0,2,6
2123,Juul-Jensen,Christopher,Juul-Jensen C.,20,1001,0,0,0,cjuul-jensen,19890706,4.75,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,183,70,0,0,0,73,0,66,0,69,0,78,0,71,0,68,0,68,0,62,0,64,0,67,0,67,0,68,0,70,0,71,0,0,0,0,0,0,0,0,1,0,,Juul-Jensen_Christopher,0,0,0,0,"(11,135,175)",0,0,0.0,0,0,0.0,0,0,0,0,0,0,2012,3,7,7,2,6,5,4,6,3
2268,Tratnik,Jan,Tratnik J.,33,2801,0,0,0,jtratnik,19900223,2.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,173,67,0,0,0,75,0,67,0,73,0,72,0,73,0,74,0,74,0,64,0,67,0,73,0,70,0,70,0,74,0,68,0,0,3,3,0,0,0,0,3,0,,Tratnik_Jan,0,0,0,0,"(43,135)",0,0,0.0,0,0,0.0,0,0,0,0,0,0,2011,12,3,6,2,3,2,1,1,3
2303,Herrada,Jesús,Herrada J.,92,807,0,0,0,jherrada,19900726,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,183,70,0,0,0,68,0,74,0,75,0,67,0,61,0,70,0,73,0,67,0,73,0,72,0,71,0,70,0,75,0,72,0,0,0,0,0,0,0,0,2,0,,Herrada_Jesus,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2011,21,8,1,7,0,3,4,10,6
2318,Vermote,Julien,Vermote J.,119,402,0,0,0,jvermote,19890726,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,179,71,0,0,0,74,0,60,0,65,0,69,0,72,0,70,0,69,0,60,0,65,0,66,0,64,0,68,0,70,0,68,0,0,1,3,0,0,0,0,0,0,,Vermote_Julien,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,4,3,0,5,5,6,6,1
2319,Matthews,Michael,Matthews M.,20,2001,0,0,0,mmatthews,19900926,0.0,0.0,0,5.0,0.0,0.0,0,0,3,0,0,0,180,72,0,0,0,72,0,65,0,72,0,81,0,73,0,73,0,78,0,74,0,78,0,76,0,79,0,71,0,77,0,69,0,0,3,5,0,0,0,0,0,0,,Matthews_Michael,0,0,0,0,"(77,173,175)",0,0,0.0,0,0,0.0,0,2,2,0,0,0,2011,43,8,4,3,12,6,0,8,4
2321,Vermeltfoort,Coen,Vermeltfoort C.,119,507,0,0,0,cvermeltfoort,19880411,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,189,83,0,0,0,71,0,54,0,59,0,70,0,66,0,66,0,70,0,71,0,70,0,65,0,64,0,69,0,64,0,59,0,0,0,0,0,0,0,0,0,0,,Vermeltfoort_Coen,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,0,0,0,3,2,0,0
2346,Skujiņš,Toms,Skujiņš T.,11,1601,0,0,0,tskujins,19910615,0.0,0.0,0,5.0,0.0,0.0,0,0,3,0,0,0,180,72,0,0,0,74,0,68,0,73,0,73,0,76,0,71,0,70,0,69,0,73,0,78,0,80,0,72,0,76,0,80,0,0,3,4,0,0,0,0,192,0,,Skujins_Toms,0,0,0,0,"(11,43,175)",0,0,0.0,0,0,0.0,0,0,0,0,0,0,2011,14,7,1,1,6,5,2,7,5
2386,Boivin,Guillaume,Boivin G.,42,2201,0,0,0,gboivin,19890525,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,180,76,0,0,0,73,0,60,0,66,0,67,0,74,0,64,0,66,0,70,0,70,0,69,0,68,0,67,0,71,0,65,0,0,0,0,0,0,0,0,2,0,,Boivin_Guillaume,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2011,5,5,2,2,3,5,6,2,1
2389,Houle,Hugo,Houle H.,37,2201,0,0,0,hhoule,19900927,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,182,72,0,0,0,74,0,69,0,72,0,72,0,72,0,72,0,72,0,63,0,69,0,71,0,69,0,73,0,73,0,73,0,0,0,0,0,0,0,0,1,0,,Houle_Hugo,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2013,3,6,3,1,6,11,8,4,2
2422,Bilbao,Pello,Bilbao P.,13,816,0,0,0,pbilbao,19900225,0.0,0.0,0,5.0,0.0,0.0,0,0,3,0,0,0,169,60,0,0,0,71,0,78,0,77,0,83,0,67,0,73,0,72,0,69,0,70,0,73,0,72,0,75,0,77,0,75,0,0,3,2,0,0,0,0,1,0,,Bilbao_Pello,0,0,0,0,"(135,12)",0,0,0.0,0,0,0.0,0,0,0,0,0,0,2011,17,5,7,5,1,2,1,4,3
2441,Haller,Marco,Haller M.,125,3701,0,0,0,mhaller,19910401,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,200,178,72,0,0,0,76,0,58,0,65,0,77,0,73,0,68,0,71,0,69,0,69,0,70,0,71,0,68,0,72,0,64,0,0,0,0,0,0,0,0,2,0,,Haller_Marco,0,0,0,0,"(175,4,25)",0,0,0.0,0,0,0.0,0,0,0,0,0,0,2012,6,10,1,1,9,12,12,0,0
2452,Bennett,Sam,Bennett S.,97,3101,0,0,0,sbennett,19901016,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,178,73,0,0,0,71,0,58,0,63,0,75,0,67,0,62,0,66,0,75,0,75,0,69,0,72,0,71,0,68,0,66,0,0,0,0,0,0,0,0,2,0,,Bennett_Sam,0,0,0,0,(25),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2014,71,4,3,3,7,1,2,0,0
2505,Valgren,Michael,Valgren M.,5,1004,0,0,0,mvalgren,19920207,0.0,0.0,0,5.0,0.0,0.0,0,0,3,0,0,0,179,71,0,0,0,73,0,66,0,68,0,72,0,74,0,70,0,70,0,68,0,73,0,70,0,72,0,67,0,74,0,76,0,0,2,3,0,0,0,0,2,0,,Valgren_Michael,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2014,8,8,1,2,6,7,1,7,1
2510,Sütterlin,Jasha,Sütterlin J.,20,716,0,0,0,jsutterlin,19921104,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,184,78,0,0,0,73,0,64,0,68,0,71,0,72,0,73,0,71,0,65,0,64,0,67,0,67,0,70,0,72,0,71,0,0,0,0,0,0,0,0,0,0,,Sutterlin_Jasha,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2014,1,2,5,4,7,9,9,0,3
2515,Bizkarra,Mikel,Bizkarra M.,100,816,0,0,0,mbizkarra,19890821,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,165,53,0,0,0,65,0,71,0,72,0,67,0,57,0,60,0,59,0,57,0,63,0,68,0,67,0,71,0,72,0,70,0,0,0,0,0,0,0,0,0,0,,Bizkarra_Mikel,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2018,1,0,0,5,0,0,0,0,0
2523,Bennett,George,Bennett G.,42,3401,0,0,0,gbennett,19900407,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,180,58,0,0,0,66,0,73,0,74,0,71,0,63,0,69,0,66,0,63,0,71,0,69,0,68,0,71,0,74,0,70,0,0,0,0,0,0,0,0,2,0,,Bennett_George,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2012,3,5,3,9,0,0,0,4,8
2542,Molard,Rudy,Molard R.,6,322,0,0,0,rmolard,19890917,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,1,178,62,0,0,0,71,0,73,0,73,0,74,0,64,0,64,0,67,0,63,0,70,0,71,0,71,0,72,0,75,0,71,0,0,3,3,0,0,0,0,0,0,,Molard_Rudy,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2012,2,6,3,7,1,1,0,11,8
2554,Kelderman,Wilco,Kelderman W.,14,510,0,0,0,wkelderman,19910325,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,185,65,0,0,0,71,0,76,0,78,0,66,0,66,0,75,0,76,0,67,0,69,0,70,0,70,0,70,0,74,0,69,0,0,4,2,0,0,0,0,0,0,,Kelderman_Wilco,0,0,0,0,(25),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2012,4,6,6,7,0,0,0,3,11
2626,Groenewegen,Dylan,Groenewegen D.,107,508,0,0,0,dgroenewegen,19930621,10.0,0.0,0,5.0,0.0,0.0,0,0,3,0,0,0,177,70,0,0,0,73,0,57,0,60,0,72,0,69,0,60,0,61,0,79,0,77,0,70,0,73,0,69,0,64,0,65,0,0,3,3,0,0,0,0,2,0,,Groenewegen_Dylan,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2015,77,8,1,0,1,1,3,0,0
2628,Ottema,Rick,Ottema R.,119,505,0,0,0,rottema,19920625,10.0,0.0,0,2.5,0.0,0.0,0,0,3,0,0,0,192,77,0,0,0,72,0,60,0,64,0,65,0,66,0,65,0,66,0,63,0,65,0,65,0,63,0,67,0,67,0,73,0,0,0,0,0,0,0,0,0,0,,Ottema_Rick,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2636,Havik,Yoeri,Havik Y.,119,508,0,0,0,yhavik,19910219,8.0,0.0,0,3.0,0.0,0.0,0,0,3,0,0,0,179,66,0,0,0,70,0,56,0,59,0,66,0,65,0,65,0,61,0,70,0,71,0,63,0,61,0,61,0,61,0,62,0,0,0,0,0,0,0,0,0,0,,Havik_Yoeri,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2650,Schulting,Peter,Schulting P.,119,502,0,0,0,pschulting,19870819,10.0,0.0,0,1.5,0.0,0.0,0,0,3,0,0,0,182,68,0,0,0,65,0,54,0,59,0,69,0,63,0,59,0,58,0,61,0,63,0,60,0,60,0,62,0,64,0,55,0,0,0,0,0,0,0,0,0,0,,Schulting_Peter,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2678,Kamp,Alexander,Kamp A.,99,1001,0,0,0,akamp,19931214,10.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,186,74,0,0,0,69,0,63,0,67,0,71,0,66,0,66,0,67,0,68,0,69,0,67,0,68,0,68,0,71,0,68,0,0,0,0,0,0,0,0,2,0,,Kamp_Alexander,0,0,0,0,"(25,173)",0,0,0.0,0,0,0.0,0,0,0,0,0,0,2012,5,0,1,1,1,0,0,3,0
2683,Trentin,Matteo,Trentin M.,125,205,0,0,0,mtrentin,19890802,15.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,179,74,0,0,0,75,0,65,0,70,0,75,0,76,0,69,0,68,0,73,0,74,0,76,0,76,0,76,0,75,0,74,0,0,2,4,0,0,0,0,8,0,,Trentin_Matteo,0,0,0,0,"(11,4,13)",0,0,0.0,0,0,0.0,0,0,0,0,0,0,2011,32,8,3,3,11,13,10,0,3
2697,Durbridge,Luke,Durbridge L.,20,2001,0,0,0,ldurbridge,19910409,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,187,78,0,0,0,74,0,66,0,68,0,71,0,74,0,71,0,70,0,59,0,64,0,67,0,67,0,70,0,70,0,65,0,0,0,0,0,0,0,0,131,0,,Durbridge_Luke,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2012,15,11,4,1,5,10,10,1,1
2715,Van Asbroeck,Tom,Van Asbroeck T.,42,402,0,0,0,tvanasbroeck,19900419,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,182,72,0,0,0,73,0,61,0,66,0,74,0,73,0,65,0,65,0,73,0,71,0,69,0,73,0,68,0,72,0,68,0,0,0,0,0,0,0,0,0,0,,Van-Asbroeck_Tom,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2012,5,1,1,3,3,10,8,0,0
2799,Furtin,Filippo,Furtin F.,112,206,0,0,0,,19890201,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,183,78,0,0,0,71,0,56,0,61,0,72,0,65,0,64,0,69,0,72,0,71,0,66,0,65,0,71,0,65,0,58,0,0,0,0,0,0,0,0,0,0,,Fortin_Filippo,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,4,0,0,0,2,1,1,0,0
2800,Laengen,Vegard Stake,Laengen V.S.,16,3501,0,0,0,vslaengen,19890207,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,194,79,0,0,0,74,0,63,0,67,0,68,0,71,0,69,0,69,0,62,0,64,0,66,0,65,0,69,0,70,0,75,0,0,2,1,0,0,0,0,2,0,,Laengen_Vegard-Stake,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2012,1,6,3,2,3,8,6,6,1
2804,Manakov,Victor,Manakov V.,119,1501,0,0,0,vmanakov,19920609,0.0,0.0,0,2.5,0.0,0.0,0,0,3,0,0,0,180,77,0,0,0,68,0,59,0,63,0,66,0,60,0,67,0,67,0,66,0,65,0,63,0,64,0,68,0,66,0,67,0,0,0,0,0,0,0,0,0,0,,Manakov_Victor,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2845,Pellaud,Simon,Pellaud S.,119,1702,0,0,0,spellaud,19921106,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,179,70,0,0,0,68,0,70,0,70,0,72,0,64,0,64,0,63,0,64,0,67,0,66,0,64,0,66,0,71,0,73,0,0,0,0,0,0,0,0,0,0,,Pellaud_Simon,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2015,3,0,2,2,1,0,0,0,2
2853,Verona,Carlos,Verona C.,11,814,0,0,0,cverona,19921104,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,186,68,0,0,0,70,0,74,0,75,0,70,0,58,0,63,0,68,0,55,0,67,0,69,0,68,0,72,0,73,0,75,0,0,3,2,0,0,0,0,0,0,,Verona_Carlos,0,0,0,0,(18),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2013,2,5,4,8,0,0,0,7,7
2893,Silva,Bruno,Silva B.,119,2901,0,0,0,,19880517,0.0,0.0,0,3.5,0.0,0.0,0,0,3,0,0,0,170,59,0,0,0,65,0,68,0,69,0,66,0,56,0,65,0,65,0,56,0,61,0,63,0,66,0,68,0,69,0,75,0,0,0,0,0,0,0,0,0,0,,Silva_Bruno,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2897,Arndt,Nikias,Arndt N.,13,709,0,0,0,narndt,19911118,0.0,0.0,0,4.0,0.0,0.0,0,0,3,0,0,0,188,77,0,0,0,73,0,60,0,66,0,66,0,64,0,66,0,69,0,71,0,71,0,72,0,70,0,72,0,72,0,74,0,0,0,0,0,0,0,0,0,0,,Arndt_Nikias,0,0,0,0,(25),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2013,7,6,3,5,6,11,7,1,0
3001,Konrad,Patrick,Konrad P.,11,3701,0,0,0,pkonrad,19911013,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,180,65,0,0,0,68,0,72,0,74,0,72,0,65,0,67,0,69,0,65,0,72,0,71,0,73,0,73,0,75,0,74,0,0,3,1,0,0,0,0,2,0,,Konrad_Patrick,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2015,3,5,5,2,1,0,0,9,7
3011,Cort Nielsen,Magnus,Cort Nielsen M.,99,1004,0,0,0,mcortnielsen,19930116,0.0,0.0,0,5.0,0.0,0.0,0,0,3,0,0,0,183,68,0,0,0,76,0,68,0,75,0,70,0,72,0,74,0,75,0,73,0,73,0,78,0,75,0,74,0,76,0,78,0,0,3,3,0,0,0,0,0,0,,Cort-Nielsen_Magnus,0,0,0,0,(),0,0,0.0,0,0,0.0,0,0,0,0,0,0,2015,34,7,2,4,7,5,5,1,1
3022,Barguil,Warren,Barguil W.,15,305,0,0,0,wbarguil,19911028,67.0,0.0,0,5.0,0.0,0.0,0,0,3,0,0,0,182,61,0,0,0,69,0,73,0,74,0,77,0,71,0,62,0,65,0,67,0,74,0,71,0,72,0,74,0,75,0,70,0,0,3,3,0,0,0,0,2,0,,Barguil_Warren,0,0,0,0,"(25,87,74)",0,0,0.0,0,0,0.0,0,3,3,0,0,0,2013,8,11,1,4,3,1,0,10,10
3024,Mezgec,Luka,Mezgec L.,20,2801,0,0,0,lmezgec,19880627,0.0,0.0,0,4.5,0.0,0.0,0,0,3,0,0,0,183,72,0,0,0,72,0,63,0,69,0,73,0,71,0,63,0,66,0,72,0,71,0,67,0,67,0,73,0,72,0,63,0,0,0,0,0,0,0,0,2,0,,Mezgec_Luka,0,0,0,0,"(25,91,175)",0,0,0.0,0,0,0.0,0,0,0,0,0,0,2013,19,6,6,4,6,8,6,0,1
