IDrace,gene_sz_race_name,gene_sz_abbreviation,gene_sz_filename,fkIDcountry,fkIDrace_class,fkIDfirst_stage,fkIDlast_stage,gene_f_popularity,gene_i_number_stages,gene_sz_mailOrganisateur,gene_ilist_fkIDteam,CONSTANT,gene_sz_classification_xml,gene_f_organisateur_coeff,fkIDrace_type,gene_b_national_tour,fkID_iconic_region,gene_i_comfort,gene_b_aso,gene_sz_currentvariant,value_i_prime,gene_b_selected,value_i_offsetLeapYear
26,GP Hamburg,Hambur,topclas_hamburg,7,8,1026,1026,60.0,1,organisateurs@hamburg.com,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,34,97,125)",hewcyclassics,top_classiques_autres,0.0,15,0,0,4,0,,0,1,0
27,Route des Alpes-Maritimes,RAlMa,c1_alpesmaritimes,3,17,1027,1027,30.0,1,organisateurs@tour-alpes-maritimes.fr,"(42,6,34,15,3,99,93,124,59,25,68,126,209)",tourhautvar,cont_11,0.0,23,0,0,2,0,,0,1,0
28,Plouay Classic,Plouay,topclas_plouay,3,8,1028,1028,60.0,1,organisateurs@plouay.fr,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,34,125)",grandprixplouay,top_classiques_autres,0.0,10,0,305,4,0,,0,1,0
29,Route du Var,RDVar,c1_classicvar,3,17,1029,1029,15.0,1,organisateurs@classicvar.fr,"(42,6,34,15,3,99,93,124,59,25,68,126,209)",classicvar,cont_11,0.0,9,0,0,3,0,,0,1,0
31,Route du Finistère,Finist,c1_finistere,3,17,1031,1031,10.0,1,organisateurs@routedufinistere.fr,"(3,6,25,34,1,9,107,35,68,59,124,126)",routefinistere,cont_11,0.0,10,0,0,3,0,,0,1,0
32,Trophée Bro-Leon,TBLeon,c1_trobleon,3,16,1032,1032,25.0,1,organisateurs@tropheebroleon.fr,"(3,6,25,34,1,9,107,35,68,59,124,126)",tropheebroleon,cont_1hc,0.0,17,0,0,3,0,,0,1,0
36,GP de Ordizia,Ordizi,c1_ordizia,8,17,1036,1036,10.0,1,organisateurs@gpordizia.es,"(1,5,9,12,16,20,35,70,92,38,105,109,100,102)",ordizia,cont_11,0.0,10,0,0,3,0,,0,1,0
38,Ruta a Burgos,Burgos,t0_burgos,8,10,1038,5038,30.0,5,organisateurs@vuelta-burgos.es,"(1,2,3,5,6,11,12,13,14,15,20,33,16,35,70,92,97,100,102)",burgos,cont_2hc,0.0,3,0,0,2,0,,0,1,0
39,G3 Vlaanderen,G3Vlaa,topclas_harelbeke,4,8,1039,1039,70.0,1,organisateurs@e3-classic.be,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,34,97,125,107,69)",gpe3,top_classiques_autres,0.0,12,0,0,4,0,,0,1,0
43,Strade Bianche,Strade,topclas_stradebian,2,8,1043,1043,85.0,1,organisateurs@classica-bianche.it,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,97,125,81,93,102,103,107)",stradebianche,top_classiques_autres,0.0,10,0,0,4,0,,0,1,0
44,Frankfurt Classic,Frankf,topclas_gpfrankfurt,7,9,1044,1044,45.0,1,organisateurs@eschborn-frankfurt.de,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,34,97,125)",gpfrancfort,top_classiques_autres,0.0,9,0,0,3,0,,0,1,0
49,Gran Premio San Sebastian,SanSeb,topclas_sansebastian,8,8,1049,1049,65.0,1,organisateurs@sansebastian.com,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,97,125,34,100,70,92,35)",klasikasansebastian,top_classiques_autres,0.0,10,0,816,4,0,,0,1,0
58,Vuelta ciclista a Mallorca,Mallor,t1_mallorca,8,11,1058,5058,35.0,5,organisateurs@vuelta-mallorca.es,"(1,2,10,16,12,20,9,25,34,35,123,33,92)",vueltamallorca,cont_21,0.0,5,0,804,3,0,,0,1,0
62,GP Figueira,Figue,c0_figueira,29,16,1062,1062,15.0,1,organisateurs@figueiraclassic.pt,"(10,16,11,37,5,1,15,12,125,35,70,100,38,105,109)",figueiraclassic,cont_1hc,0.0,10,0,0,3,0,,0,1,0
63,GP ao Algarve,Algarv,t0_algarve,29,10,1063,5063,35.0,5,organisateurs@volta-algarve.pt,"(10,1,14,16,6,25,34,35,33,105,109,38)",voltaalgarve,cont_2hc,0.0,2,0,2905,2,0,,0,1,0
66,Trophée Samyn,Samyn,c1_fayt,4,17,1066,1066,20.0,1,organisateurs@fayt-le-franc.be,"(37,10,25,42,6,14,15,33,9,107,69,34,60,116,158,59,68)",fayt,cont_11,0.0,17,0,0,3,0,,0,1,0
68,Settimana Ciclistica Internazionale,SetInt,t1_settimanainter,2,11,1068,5068,20.0,5,organisateurs@coppaciclistainter.it,"(2,5,10,14,37,81,35,25,102,114,103)",coppainternazionale,cont_21,0.0,4,0,0,2,0,,0,1,0
69,Tour des Pays de la Loire,PLoire,t1_sarthe,3,11,1069,4069,25.0,4,organisateurs@toursarthe.fr,"(25,11,15,5,6,3,34,1,33,69,107,37,99,102)",circuitsarthe,cont_21,0.0,8,0,0,2,0,,0,1,0
72,Circuit de Denain,Denain,c0_denain,3,16,1072,1072,10.0,1,organisateurs@denain.fr,"(14,16,37,13,3,6,11,9,33,12,35,34,60,97,69,25,107,124,126,59,68)",circuitdenain,cont_1hc,0.0,15,0,0,3,0,,0,1,0
74,Tour Auvergne-Rhône-Alpes,TARA,top_dauphine,3,3,1074,8074,78.0,8,organisateurs@tour-auv-rh-alpes.fr,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,34,125,25,35)",dauphinelibere,top_dauphine,0.0,18,0,322,4,1,,0,1,0
77,Milano - Sanremo,SRemo,topclas_sanremo,2,6,1077,1077,90.0,1,organisateurs@milano-sanremo.it,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,34,97,125,81,102,107,123)",milansanremo,top_classiques_majeures,0.0,9,0,0,4,0,,0,1,0
78,GP Castilla y León,Castil,c1_castillayleon,8,17,1078,1078,20.0,1,organisateurs@semanacastillaleon.es,"(9,16,1,12,20,34,35,92,38,97,105,109,100,152,102)",castillaleon,cont_11,0.0,10,0,808,2,0,,0,1,0
85,Österreich Tour,Österr,t0_austria,37,11,1085,5085,25.0,5,organisateurs@osterreichrundfahrt.at,"(11,12,1,34,81,33,123,40,114,152,112,162,106)",osterreichrundfahrt,cont_21,0.0,2,1,0,3,0,,0,1,0
87,Liège - Bastogne - Liège,LBL,topclas_lbl,4,6,1087,1087,90.0,1,organisateurs@lbl.org,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,34,97,125,35,69,25,107)",liegebastogneliege,top_classiques_majeures,0.0,10,0,401,4,1,,0,1,0
91,Cataluña Pirineos,Catal,top_catalunya,8,4,1091,7091,80.0,7,organisateurs@vuelta-catalunya.es,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,97,92,35,70,100,60)",tourdecatalogne,top_catalogne,0.0,18,0,809,3,0,,0,1,0
92,Paris - Tours,Tours,c0_paristours,3,16,1092,1092,40.0,1,organisateurs@cdm-paristours.com,"(14,11,37,9,3,16,6,2,12,34,99,15,25,125,42,97,107,59,68,124,126)",paristours,cont_1hc,0.0,15,0,0,3,1,,0,1,0
93,Benelux Tour,Blux,top_benelux,4,4,1093,5093,55.0,5,organisateurs@tour-benelux.com,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,34,107,69)",tourdubenelux,top_benelux,0.0,4,0,0,4,0,,0,1,0
95,Muscat Race,Musca,c1_muscatrace,68,17,1095,1095,20.0,1,organisateurs@muscat.com,"(34,5,99,6,16,10,1,25,12,14,15,20,97,125,92)",muscatrace,cont_11,0.0,10,0,0,5,0,,0,1,0
96,Route du Limousin,Limous,t1_limousin,3,11,1096,4096,20.0,4,organisateurs@limousin.fr,"(3,6,25,34,9,107,59,68,124,126,100,81,93,70,35)",routelimousin,cont_21,0.0,5,0,312,1,0,,0,1,0
97,Route of Oman,Oman,t0_oman,68,10,1097,5097,35.0,5,organisateurs@tourofoman.com,"(34,5,99,6,16,10,1,25,12,14,15,20,97,125,92)",tourofoman,cont_2hc,0.0,3,0,0,5,0,,0,1,0
98,GP Sud Ardèche,Ardech,c1_ardeche,3,16,1098,1098,20.0,1,organisateurs@sudardeche.fr,"(3,6,25,16,14,11,12,13,2,1,15,5,9,125,97,35,34,107,59,124,126)",sudardeche,cont_1hc,0.0,10,0,0,3,0,,0,1,0
99,GP de la Drôme,Drome,c1_drome,3,16,1099,1099,20.0,1,organisateurs@drome.fr,"(3,6,25,16,14,11,12,13,2,1,15,5,9,125,97,35,34,107,59,124,126)",dromeclassic,cont_1hc,0.0,10,0,0,3,0,,0,1,1
100,Classique d'Isbergues,Isber,c1_isbergues,3,17,1100,1100,10.0,1,organisateurs@isbergues.fr,"(125,12,10,37,3,99,13,15,42,6,20,34,97,9,107,102,69,68,59,124,126)",classicisbergues,cont_11,0.0,15,0,0,3,0,,0,1,0
101,Baltimore Classic,Balti,c0_gpmaryland,6,16,1101,1101,10.0,1,,"(42,11,5,20,34,12,93,123,135,81,95)",,cont_1hc,0.0,9,0,0,3,0,,0,1,0
102,Tour Franco-Belge,Fr-Bel,c0_eurometropole,4,16,1102,1102,20.0,1,organisateurs@francobelge.be,"(9,10,6,14,15,42,69,68,59,107,11,110,237)",tfrancobelge,cont_1hc,0.0,15,0,0,3,0,,0,1,0
103,La Famenne Légende,Famen,c1_famenne,4,17,1103,1103,15.0,1,organisateurs@famenneclassic.be,"(9,34,42,25,97,107,69,110,59,113,116,140,162)",famenneclassic,cont_11,0.0,9,0,0,3,0,,0,1,0
104,GP Gippingen,Gippin,c1_gippingen,17,17,1104,1104,20.0,1,organisateurs@gp-argovie.ch,"(11,69,50,81,16,15,20,13,12,3,125)",gippingen,cont_11,0.0,9,0,0,3,0,,0,1,0
105,GP Dunkerque,GPDun,c0_classiquedunkerque,3,16,1105,1105,20.0,1,organisateurs@dunkerque.fr,"(3,6,25,34,12,15,2,10,1,14,35,107,125,99,9,42,100,59,124,126,68)",classiquedunkerque,cont_1hc,0.0,15,0,0,3,0,,0,1,0
106,5 Jours de Dunkerque,5JDun,t0_dunkerque,3,10,1106,5106,25.0,5,organisateurs@tnpc.fr,"(3,6,25,34,12,15,2,10,1,14,35,107,125,99,9,42,100,59,124,126,68)",4joursdunkerque,cont_2hc,0.0,6,0,315,1,0,,0,1,0
107,USA championships,N-USA,nat-usa,6,22,1107,1107,35.0,1,,(),champ_usa,default,0.0,9,0,0,3,0,,0,1,0
108,Campeonato de Columbia,N-COL,nat-col,11,22,1108,1108,35.0,1,,(),champ_colombia,default,0.0,9,0,0,3,0,,0,1,0
110,Australian championships,N-AUS,nat-aus,20,22,1110,1110,35.0,1,,(),champ_australia,default,0.0,9,0,0,3,0,,0,1,0
111,Campeonatos do Portugal,N-POR,nat-por,29,22,1111,1111,35.0,1,,(),champ_portugal,default,0.0,9,0,0,3,0,,0,1,0
112,Poland championships,N-POL,nat-pol,30,22,1112,1112,35.0,1,,(),champ_poland,default,0.0,9,0,0,3,0,,0,1,0
113,Czech Republic championships,N-CZE,nat-cze,33,22,1113,1113,35.0,1,,(),champ_czechrepublic,default,0.0,9,0,0,3,0,,0,1,0
115,Great Britain championships,N-GBR,nat-gbr,18,22,1115,1115,35.0,1,,(),champ_greatbritain,default,0.0,9,0,0,3,0,,0,1,0
120,Campeonato de España (ITT),Ntt-ES,natitt-esp,8,23,1120,1120,11.0,1,,(),champ_spain_itt,default,0.0,13,0,0,3,0,,0,1,0
121,Campione di Italia (ITT),Ntt-IT,natitt-ita,2,23,1121,1121,11.0,1,,(),champ_italy_itt,default,0.0,13,0,0,3,0,,0,1,0
122,Championnats de France (ITT),Ntt-FR,natitt-fra,3,23,1122,1122,11.0,1,organisateurs@france-ch.org,(),champ_france_itt,default,0.0,13,0,0,3,0,,0,1,0
123,Championnats de Belgique (ITT),Ntt-BE,natitt-bel,4,23,1123,1123,11.0,1,,(),champ_belgium_itt,default,0.0,13,0,0,3,0,,0,1,0
124,Nederlands Kampioenschap (ITT),Ntt-NL,natitt-ned,5,23,1124,1124,11.0,1,,(),champ_netherlands_itt,default,0.0,13,0,0,3,0,,0,1,0
125,USA championships (ITT),Ntt-US,natitt-usa,6,23,1125,1125,11.0,1,,(),champ_usa_itt,default,0.0,13,0,0,3,0,,0,1,0
126,Deutsche Meisterschaft (ITT),Ntt-DE,natitt-deu,7,23,1126,1126,11.0,1,,(),champ_germany_itt,default,0.0,13,0,0,3,0,,0,1,0
127,Great Britain championships (ITT),Ntt-GB,natitt-gbr,18,23,1127,1127,11.0,1,,(),champ_greatbritain_itt,default,0.0,13,0,0,3,0,,0,1,0
128,GP de Almeria,Almerí,c1_almeria,8,16,1128,1128,10.0,1,organisateurs@almeria.es,"(97,125,9,34,25,1,100,20,92,12,35,102,70,69,81)",gpalmeria,cont_1hc,0.0,15,0,0,3,0,,0,1,0
133,Paris - Nice,Nice,top_nice,3,3,1133,8133,82.0,8,organisateurs@paris-nice.fr,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,34,97,125,25)",parisnice,top_parisnice,0.0,2,0,0,4,1,,0,1,0
135,Supergiro di Italia,Italia,top_giro,2,2,1135,21135,92.0,21,organisateurs@gt-italia.com,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,97,125,81,102,107)",giro,top_italie_grandtour,0.0,1,0,0,5,0,,0,1,0
139,Giro Adriatico,AdriG,top_tirreno,2,3,1139,7139,80.0,7,organisateurs@tirreno-adriatico.it,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,97,125,35,81,93,102)",tirrenoadriatico,top_tirreno,0.0,2,0,0,4,0,,0,1,0
145,Scheldetour Vlaanderen,Scheld,c0_schelde,4,16,1145,1145,35.0,1,organisateurs@flanders-classic.be,"(15,10,9,3,12,14,6,5,25,2,11,34,33,69,107)",scheldetourvlaanderen,cont_1hc,0.0,17,0,0,3,0,,0,1,0
149,GP de Namur,Namur,c1_gpwallonie,4,16,1149,1149,20.0,1,organisateurs@criterium-wallonie.be,"(9,10,37,20,14,2,5,11,6,34,15,69,110)",gpnamur,cont_1hc,0.0,10,0,0,3,0,,0,1,0
153,Coppa Varesina,Vares,c0_trevallevaresine,2,16,1153,1153,30.0,1,organisateurs@valle-varesine.it,"(5,11,12,2,16,13,81,102,3,20,103)",coppavaresine,cont_1hc,0.0,10,0,0,3,0,,0,1,0
159,GP Bruxelles,Bruxel,c0_parisbruxelles,4,16,1159,1159,30.0,1,organisateurs@paris-bruxelles.be,"(9,10,5,34,35,12,3,6,125,33,110,99,70,100,42,107,81)",parisbruxelles,cont_1hc,0.0,15,0,0,3,0,,0,1,0
160,Circuit de Fourmies,Fourmi,c0_fourmies,3,16,1160,1160,20.0,1,organisateurs@criterium-fourmies.fr,"(125,12,10,37,3,99,13,15,42,6,20,34,97,9,107,102,69,68,59,124,126)",gpfourmies,cont_1hc,0.0,15,0,0,3,0,,0,1,0
163,Milano - Torino,Torino,c0_milanotorino,2,16,1163,1163,40.0,1,organisateurs@milano-torino.it,"(5,11,12,2,16,13,81,102,1,3,6,20)",milanotorino,cont_1hc,0.0,14,0,0,3,0,,0,1,0
165,Coppa del Piemonte,Piemon,c0_piemonte,2,16,1165,1165,25.0,1,organisateurs@classic-piemonte.it,"(5,11,12,2,16,13,81,102,1,3,6,20)",piemonte,cont_1hc,0.0,10,0,0,3,0,,0,1,0
166,Tour of Denmark,TourDk,t0_denmark,10,10,1166,5166,30.0,5,organisateurs@denmark-circuit.dk,"(14,9,11,15,10,25,81,69,123,161,99,106,164)",tourdudanemark,cont_2hc,0.0,8,1,0,3,0,,0,1,0
167,Supervolta a Portugal,Portug,t1_portugal,29,11,1167,11167,15.0,11,organisateurs@portugal-volta.pt,"(16,68,38,35,93,105,109,100,242,146)",tourduportugal,cont_21,0.0,2,1,0,2,0,,0,1,0
169,Coppa dell'Emilia,Emilia,c0_emilia,2,16,1169,1169,40.0,1,organisateurs@gp-emilia.it,"(5,11,12,2,16,13,81,102,1,3,6,20)",coppadelemilia,cont_1hc,0.0,14,0,0,3,0,,0,1,0
171,GP Copenhagen,Copen,topclas_copenhagen,10,9,1171,1171,40.0,1,organisateurs@copenhagensprint.dk,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99)",copenhagensprint,top_classiques_autres,0.0,15,0,0,4,0,,0,1,0
172,Il Lombardia,Lombar,topclas_lombardia,2,6,1172,1172,85.0,1,organisateurs@lombardia.com,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,34,97,125,81,93,102,103)",tourdelombardie,top_classiques_majeures,0.0,14,0,204,4,0,,0,1,0
173,Limburg Green Race,GreenR,topclas_maastricht,5,7,1173,1173,75.0,1,organisateurs@goldrace.com,"(1,2,3,5,6,9,10,11,12,13,14,15,16,20,33,37,42,99,34,97,125,107,69,25,35)",amstelgoldrace,top_classiques_autres,0.0,10,0,506,4,0,,0,1,0
175,World Championships,Worlds,world,18,20,1175,1175,95.0,1,organisateurs@world-ch.org,(),worldchampionship,default,0.0,14,0,0,3,0,,0,1,0
179,GP di Toscana,Toscan,c1_toscana,2,17,1179,1179,10.0,1,organisateurs@toscana.it,"(12,34,2,20,16,93,102,100,81,97,25,104,103,160)",gptoscana,cont_11,0.0,10,0,0,2,0,,0,1,0
181,Classic Slovenia,ClSlov,c2_gpslovenian,28,18,1181,1181,5.0,1,organisateurs@gpslovenian.com,"(50,40,112,114,113,152,58,162,106,158)",gpslovenian,cont_12,0.0,17,0,0,3,0,,0,1,0
182,GP Novo Mesto,GPNoVo,c2_gpadria,28,18,1182,1182,5.0,1,organisateurs@gpadriamobil.com,"(50,40,112,114,113,152,58,162,106,158)",gpadria,cont_12,0.0,17,0,0,3,0,,0,1,0
183,Route of Slovenia,Sloven,t0_slovenia,28,10,1183,5183,30.0,5,organisateurs@slovenia-tour.com,"(13,11,20,14,16,92,35,70,100,93,102,107,99,81,50)",tourslovenia,cont_2hc,0.0,3,1,0,2,0,,0,1,0
184,GP Kranj,Kranj,c2_gpkranj,28,18,1184,1184,10.0,1,organisateurs@gp-kranj.com,"(50,40,112,114,113,152,58,162,106,158)",gpkranj,cont_12,0.0,10,0,0,3,0,,0,1,0
186,Qinghai Lake Road,Qingha,t0_qinghai,25,10,1186,8186,15.0,8,organisateurs@quighai-road.org,"(123,100,96,92,146,81,162,95,107,12)",qinghai,cont_2hc,0.0,4,0,0,4,0,,0,1,0
189,Münsterland Giro,Münst,c0_munsterland,7,16,1189,1189,10.0,1,organisateurs@munsterland.de,"(15,33,69,40,114,11,9,10,152,147,166)",munsterland,cont_1hc,0.0,9,0,0,3,0,,0,1,0
190,Britain's Tour,Britai,t0_britain,18,10,1190,5190,35.0,5,organisateurs@tour-of-britain.uk,"(2,16,14,11,10,42,99,3,13,15,6,125,97,9,107,70,69,105)",tourofbritain,cont_2hc,0.0,4,1,0,3,0,,0,1,0
191,Chrono des Nations,ChrNat,c1_nations,3,17,1191,1191,10.0,1,organisateurs@chrono-des-nations.fr,"(3,6,25,34,59,68,9,107,69,124,126)",chrononations,cont_11,0.0,13,0,0,3,0,,0,1,0
192,Japan GP,Japan,c0_japancup,21,16,1192,1192,10.0,1,organisateurs@japan-cup.org,"(16,13,5,40,2,20,11,81,14,95,123)",japancup,cont_1hc,0.0,10,0,0,4,0,,0,1,0
193,Tour de Vendée,Vendée,c0_vendee,3,17,1193,1193,15.0,1,organisateurs@tourdevendee.fr,"(3,6,25,34,59,68,9,107,69,124,126)",tourdevendee,cont_11,0.0,15,0,0,3,0,,0,1,0
200,Course de la Paix U23,PaixU,u23_paix,33,13,1200,4200,0.0,4,organisateurs@coursedelapaix-u23.cz,"(203,233,211,201,213,215,205,202,210,225,214,216,212,206,209,237,135)",coursedelapaix,cont_22,0.0,3,0,0,3,0,,0,1,0
202,Ronde de l'Isard,Isard,t2u_isard,3,13,1202,5202,5.0,5,organisateurs@ronde-isard.fr,"(203,233,211,201,213,215,205,202,210,225,214,216,212,206,209,237,135)",u23rondeisard,cont_22,0.0,3,0,0,1,0,,0,1,0
203,Liège - Bastogne - Liège U23,LBLu23,c2u_lbl,4,19,1203,1203,10.0,1,organisateurs@lblu23.be,"(215,209,203,207,206,242,213,214,150,135)",u23bastogneliege,cont_12,0.0,10,0,0,3,0,,0,1,0
205,Tour de l'Avenir,Avenir,u23_avenir,3,13,1205,8205,0.0,8,organisateurs@tour-avenir.fr,"(203,233,211,201,213,215,205,202,210,225,214,216,212,206,209,237,135)",u23avenir,cont_22,0.0,2,0,0,3,0,,0,1,0
210,Giro della Valle d'Aosta,Aosta,t2_aosta,2,13,1210,5210,10.0,5,organisateurs@girovalleaosta.it,"(203,233,211,201,213,215,205,202,210,225,214,216,212,206,209,237,135)",girovalleaosta,cont_22,0.0,18,0,0,3,0,,0,1,0
214,Brakel - Haacht,Brakel,c0_primus,4,16,1214,1214,3.0,1,organisateurs@brakelhaacht.be,"(9,37,10,11,1,33,15,20,16,34,12,42,125,99,35,100,69,25)",brakelhaacht,cont_1hc,0.0,15,0,0,3,0,,0,1,0
216,Lombardia U23,Lomb23,c2u_lombardia,2,19,1216,1216,8.0,1,organisateurs@piccololombardia.it,"(215,209,203,207,206,242,213,214,150,135)",piccololombardia,cont_12,0.0,10,0,0,3,0,,0,1,0
220,Trofeo Getxo,Getxo,c1_getxo,8,17,1220,1220,10.0,1,organisateurs@gp-gexto.es,"(1,12,16,35,70,92,38,105,109,100,102)",trofeogetxo,cont_11,0.0,10,0,0,3,0,,0,1,0
237,Tour Alpes-Isère,AlpIsè,t2_rhalpesisere,3,12,1237,5237,10.0,5,organisateurs@rhalpesisere.fr,"(25,107,152,35,206,203,215,40,99,102)",rhalpesisere,cont_22,0.0,3,0,0,1,0,,0,1,0
238,Olympia's Road,Olymp,t2_olympiatour,5,12,1238,5238,10.0,5,organisateurs@olympiastour.nl,"(215,209,135,140,203,207,146,102,206,214)",olympiastour,cont_22,0.0,8,0,0,3,0,,0,1,0
242,Boucles de la Mayenne,Mayenn,t1_mayenne,3,10,1242,4242,5.0,4,organisateurs@bouclesmayenne.fr,"(34,25,68,59,92,70,147,107,124,126)",bouclesmayenne,cont_2hc,0.0,8,0,0,2,0,,0,1,0
243,La Flèche Ardennaise,FlèArd,c2_flechearden,4,18,1243,1243,7.0,1,organisateurs@flecheardennaise.be,"(209,81,70,237,233,214,242,211,135,152,207,146)",flecheardennaise,cont_12,0.0,10,0,0,3,0,,0,1,0
244,Czech Tour,CzechT,t1_czecht,33,10,1244,4244,15.0,4,organisateurs@czechtour.cz,"(33,42,70,81,60,102,103,92,93,40,163)",czechtour,cont_2hc,0.0,5,1,0,1,0,,0,1,0
248,World Championships ITT,WorlTT,worlditt,18,21,1248,1248,75.0,1,organisateurs@world-ch.org,(),worldchampionshipitt,default,0.0,13,0,0,3,0,,0,1,0
