IDteam,gene_sz_shortname,gene_sz_name,jersey_sz_abbreviation,abbreviation,gene_b_licensed,fkIDcountry,gene_sz_suffixeMail,gene_sz_manager_general,fkIDdivision,fkIDnextdivision,fkIDprevdivision,fkIDrace,prerace_i_team,gene_b_selected,CONSTANT,fkIDcalendar1,fkIDcalendar2,fkIDcalendar3,value_f_current_evaluation,value_f_prevyear_evaluation,value_f_nextyear_evaluation,gene_b_default_picking,gene_i_transfer_evo_budget_min_year,gene_i_transfer_evo_ridertype_min_year,fkIDteam_ridertype_distrib,value_ilist_race_like,value_ilist_race_dislike,value_i_budget,gene_sz_color,value_f_ridertype_importance,gene_sz_secondary_color
14,Visma | Lease a Bike,Team Visma | Lease a Bike,tvl,TVL,1,5,team-visma-leaseabike.nl,Richard Plugge,10,0,0,0,0,0,,4,2,8,0.0,0.0,0.0,1,0,0,0,"(95,97,304,98,99,68,389,166)","(58,309,311,128,388,62,63,325,106)",0,,0.0,
15,Team Picnic PostNL,Team Picnic PostNL,tpp,TPP,1,5,team-picnic-postnl.com,Iwan Spekenbrink,10,0,0,0,0,0,,4,5,2,0.0,0.0,0.0,1,0,0,0,"(298,309,97,27,325,166)",(),0,,0.0,
16,UAE Emirates - XRG,UAE Team Emirates - XRG,uad,UAD,1,105,uae-teamemirates-xrg.com,José-Antonio Fernandez,10,0,0,0,0,0,,3,9,12,0.0,0.0,0.0,1,0,0,0,"(566,567,298,58,309,95,97,62,63,311,388,304,305,318,389,183,317)",(325),0,,0.0,
20,Team Jayco AlUla,Team Jayco AlUla,jay,JAY,1,20,team-jayco-alula.com,Brent Copeland,10,0,0,0,0,0,,3,15,4,0.0,0.0,0.0,1,0,0,0,"(298,183,317)",(44),0,,0.0,
25,Team TotalEnergies,Team TotalEnergies,ten,TEN,1,3,team-totalenergies.fr,Jean-René Bernaudeau,11,0,0,0,0,0,,1,4,0,0.0,0.0,0.0,1,0,0,0,(),"(237,279,286,410,591,613)",0,,0.0,
33,Red Bull - BORA,Red Bull - BORA - hansgrohe,rbh,RBH,1,7,redbull-bora.de,Ralph Denk,10,0,0,0,0,0,,5,4,2,0.0,0.0,0.0,1,0,0,0,"(298,311,128,388,408)","(293,97)",0,,0.0,
34,Cofidis,Cofidis,cof,COF,1,3,equipecofidis.com,Raphaël Jeune,11,0,0,0,0,0,,1,4,2,0.0,0.0,0.0,1,0,0,0,(),(551),0,,0.0,
35,Caja Rural,Caja Rural - Seguros RGA,cjr,CJR,1,8,caja-rural.es,Juan Manuel Hernandez,11,0,0,0,0,0,,2,6,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
37,Alpecin-Premier Tech,Alpecin-Premier Tech,apt,APT,1,4,Alpecin-premiertech.com,Philip Roodhooft,10,0,0,0,0,0,,4,5,0,0.0,0.0,0.0,1,0,0,0,"(298,293,68,408)",(551),0,,0.0,
38,Team Algarve,Team Algarve / Crédito Portugal,tca,TCP,0,29,teamalgarve.pt,Marcelino Toixeiro,12,0,0,0,0,0,,6,2,0,0.0,0.0,0.0,0,0,0,0,(),(),0,,0.0,
40,Team Volvaberg,Team Volvaberg,vbg,VBG,0,37,team-volvaberg.at,Thomas Kafler,12,0,0,0,0,0,,5,3,0,0.0,0.0,0.0,0,0,0,0,(),(),0,,0.0,
42,NSN Cycling Team,NSN Cycling Team,nsn,NSN,1,17,nsn-cycling-team.com,Kjell Carlström,10,0,0,0,0,0,,14,1,9,0.0,0.0,0.0,1,0,0,0,(408),(),0,,0.0,
50,Kolesarski,Kolesarski Klub Novo Mesto,adr,ADR,1,28,adria.com,Bodgan Fink,12,0,0,0,0,0,,3,12,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
58,Kasper crypto4me,Kasper crypto4me,kcr,KCR,1,33,kasper-crypto4me.cz,Vladimir Vavra,12,0,0,0,0,0,,12,7,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
59,Van Rysel - Roubaix,Van Rysel - Roubaix,vrr,VRR,1,3,vanrysel-roubaix.fr,Daniel Verbrackel,12,0,0,0,0,0,,1,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
60,Modern Adventure,Modern Adventure Pro Cycling,map,MAP,1,6,modern-adventure.com,George Hincapie,11,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
68,St Michel,St Michel - Preference Home - Auber93,aub,AUB,1,3,stmichel-auber93.fr,Stéphane Javalet,12,0,0,0,0,0,auber93,1,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
69,Flanders - Baloise,Team Flanders - Baloise,tfb,TFB,1,4,flanders-baloise.be,Christophe Sercu,11,0,0,0,0,0,,4,5,1,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
70,Kern Pharma,Equipo Kern Pharma,ekp,EKP,1,8,equipo-kernpharma.es,Juanjo Oroz Ugalde,11,0,0,0,0,0,,2,6,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
81,Bardiani CSF,Bardiani CSF 7 Saber,bcs,BCS,1,2,bardiani-csf.it,Roberto Reverberi,11,0,0,0,0,0,,3,7,13,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
92,Burgos Burpellet BH,Burgos Burpellet BH,bbh,BBH,1,8,burgos-burpellet-bh.es,Julio Andrés Izquierdo,11,0,0,0,0,0,,2,6,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
93,Solution Tech,Solution Tech Nippo Rali,tft,TFT,1,2,team-solutiontech.com,Serge Parsani,11,0,0,0,0,0,,3,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
95,Team JAKYO,Team JAKYO,tuk,TJK,0,21,team-jakyo.jp,Akyo Kotoyama,12,0,0,0,0,0,,13,2,0,0.0,0.0,0.0,0,0,0,0,(),(),0,,0.0,
96,Vino SKO Team,Vino SKO Team,vnq,VNQ,0,13,vino-astanamotors.kz,Venera Gavrilova,12,0,0,0,0,0,,13,14,12,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
97,Pinarello - Q36.5,Pinarello - Q36.5 Pro Cycling,pqt,PQT,1,17,pinarello-q365.ch,Douglas Ryder,11,0,0,0,0,0,,3,2,4,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
99,Uno-X Mobility,Uno-X Mobility,uxm,UXM,1,35,unox-mobility.no,Thor Hushovd,10,0,0,0,0,0,,10,4,0,0.0,0.0,0.0,1,0,0,0,"(298,293,97,408,325)",(),0,,0.0,
100,Euskaltel - Euskadi,Euskaltel - Euskadi,eus,EUS,1,8,euskaltel-euskadi.eus,Jesus Ezkurdia,11,0,0,0,0,0,,2,6,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
102,Polti VisitMalta,Team Polti VisitMalta,ptv,PTV,1,2,polti-visitmalta.it,Francisco Contador,11,0,0,0,0,0,,3,2,0,0.0,0.0,0.0,1,0,0,0,(389),"(297,298,98,99)",0,,0.0,
103,MBH Bank CSB,MBH Bank CSB Telecom Fort,mbh,MBH,1,2,mbhbank-csb.it,Antonio Bevilacqua,11,0,0,0,0,0,,3,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
104,Bicitremi - Tri Colle,Bicitremi - Tri Colle,btc,BTC,0,2,bicitremi-tricolle.it,Stefano Tiari,12,0,0,0,0,0,,3,0,0,0.0,0.0,0.0,0,0,0,0,(),(),0,,0.0,
105,Alocolor - Capacarn,Alocolor - Capacarn,acr,ACR,0,29,alocolor-capacarn.pt,Carlos Manuel Pereiro,12,0,0,0,0,0,,6,0,0,0.0,0.0,0.0,0,0,0,0,(),(),0,,0.0,
106,Mozasze,Mozasze Surge Polka,msp,MSP,0,30,team-mozasze.pl,Darius Banazek,12,0,0,0,0,0,,12,14,0,0.0,0.0,0.0,0,0,0,0,(),(),0,,0.0,
107,Unibet Rose,Unibet Rose Rockets,urr,URR,1,3,unibet-rose-rockets.fr,Bas Tietema,11,0,0,0,0,0,,4,1,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
109,Feira dos Sofás,Feira dos Sofás - Boavista,boa,BOA,0,29,feiradossofas-boavista.pt,José Dos Santos,12,0,0,0,0,0,,6,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
110,Tartareto,Tartareto - Oilrex,tis,TIS,0,4,tartareto-oilrex.be,Henrik Eghalm,12,0,0,0,0,0,,4,0,0,0.0,0.0,0.0,0,0,0,0,(),(),0,,0.0,
112,Hraukaw,Hraukaw Advorocs,hac,HAC,0,37,hraukaw-advorocs.at,Alexander Hraukaw,12,0,0,0,0,0,,5,0,0,0.0,0.0,0.0,0,0,0,0,(),(),0,,0.0,
113,Ride Race,Ride Race - Puresun,rrs,RRP,0,7,ride-race-puresun.de,Wieslaw Ziasnacha,12,0,0,0,0,0,,5,12,0,0.0,0.0,0.0,0,0,0,0,(0),(),0,,0.0,
114,Tirol KMD,Tirol KMD Cycling Team,tir,TIK,0,37,tirol-kmd.at,Thomas Popp,12,0,0,0,0,0,,5,0,0,0.0,0.0,0.0,0,0,0,0,"(210,216,281,325)",(),0,,0.0,
116,Valkerwussels,Team Valkerwussels,vwe,VAL,0,5,team-valkerwussels.nl,Dyaln van der Berg,12,0,0,0,0,0,,4,0,0,0.0,0.0,0.0,0,0,0,0,(),(),0,,0.0,
119,-,-,,,1,8,cyanide.com,-,4,0,0,0,0,0,LOOSER_TEAM,0,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,000000,0.0,
123,Novo Nordisk,Team Novo Nordisk,tnn,TNN,1,6,teamnovonordisk.com,Vassili Davidenko,11,0,0,0,0,0,,8,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
124,Nice Métropole,Nice Métropole Côte d'Azur,nmc,NMC,1,3,nicemetropole-coteazur.fr,Jérôme Pulidori,12,0,0,0,0,0,,1,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
125,Tudor Pro Cycling,Tudor Pro Cycling Team,tud,TUD,1,17,tudor-procyclingteam.ch,Thibault Hofer,11,0,0,0,0,0,,3,5,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
126,CIC Pro Cycling,CIC Pro Cycling Academy,cic,CIC,1,3,cic-procyclingacademy.fr,Stéphane André,12,0,0,0,0,0,,1,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
135,Hagens - Jayco,Hagens Berman - Jayco,hbg,HBG,1,20,hagensberman-cycling.com,-,20,0,0,0,0,0,,15,8,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
140,Mitoc-Solwatt,Mitoc - Solwatt p/b Montel,met,MIT,0,5,mitoc-solwatt.nl,Gianni Van Haafen,12,0,0,0,0,0,,4,0,0,0.0,0.0,0.0,0,0,0,0,(),(),0,,0.0,
146,Azerion,Azerion / Villa Valkenburg,phv,PHV,1,5,parkhotel-valkenburg.nl,Paul Tabak,12,0,0,0,0,0,,4,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
147,Team ColoQuick,Team ColoQuick,tcq,TCQ,1,10,team-coloquick.dk,Brian Pedersen,12,0,0,0,0,0,,10,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
150,Team Drali - Repsol,Team Drali - Repsol,drp,DRP,1,35,team-drali.no,Jan Erik Fjotland,12,0,0,0,0,0,,10,0,0,0.0,0.0,0.0,1,0,0,0,"(589,590)",(),0,,0.0,
152,ROMBO,ROMBO - Rad-Cycling,rrn,RRC,0,7,team-rombo-radcycling.de,Ulrich Möller,12,0,0,0,0,0,,5,0,0,0.0,0.0,0.0,0,0,0,0,(),(),0,,0.0,
158,BEAT CC p/b Saxo,BEAT CC p/b Saxo,bcy,BCY,1,5,beatcyclingclub.nl,Geert Broekhuizen,12,0,0,0,0,0,,4,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
160,Biasse - Corrara,Biasse - Corrara - Primoc,bie,BIA,0,2,biasse-corrara.it,Gabriele Scolmoni,12,0,0,0,0,0,,3,0,0,0.0,0.0,0.0,0,0,0,0,(),(),0,,0.0,
161,BHS - PL Beton,BHS - PL Beton Bornholm,bpc,BPC,1,10,bhs-plbeton-bornholm.dk,Christian Juul Andreasen,12,0,0,0,0,0,,10,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
162,Voster Team,Voster Team,vos,VOS,0,30,voster-team.pl,Mariusz Witecki,12,0,0,0,0,0,,12,14,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
163,ACZ Invests,ACZ Invests,att,ACZ,1,33,aczinvests.cz,Jaromir Kojevsky,12,0,0,0,0,0,,12,14,5,0.0,0.0,0.0,0,0,0,0,(),(),0,,0.0,
164,Aritas,ARITAS - Curl Rox,gsh,GSH,0,10,aritas-curlrox.dk,Henrik Eghalm,12,0,0,0,0,0,,10,0,0,0.0,0.0,0.0,0,0,0,0,(),(),0,,0.0,
166,Bike Aid,Bike Aid,bai,BAI,1,7,bikeaid.de,Anton Wiersma,12,0,0,0,0,0,,5,14,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
167,United Shipping,Team United Shipping,tus,TUS,1,40,united-shipping.hu,Adrienn Szabo,12,0,0,0,0,0,,12,14,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
168,Terengganu,Terengganu Cycling Team,tsg,TSG,0,49,terengganu-cycling.my,Nassirudin Wan Idrus,12,0,0,0,0,0,,13,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
201,Movistar Academy,Movistar Team Academy,moy,MOY,1,8,movistar-academy.es,-,20,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
202,INEOS Academy,INEOS Grenadiers Racing Academy,iga,IGA,1,18,ineos-racing-academy.com,-,20,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
203,Decathlon-CMA CGM DT,Decathlon-CMA CGM Development Team,dcd,DCD,1,3,decathlon-cma-cgm-dt.fr,-,20,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,0,0,"(202,203,216)",(),0,,0.0,
205,EF Education - Aevolo,EF Education - Aevolo,efa,EFA,1,6,ef-education-aevolo.com,-,20,0,0,0,0,0,,8,2,3,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
206,Groupama-FDJ DT,Groupama-FDJ United Continental,cgf,CGF,1,3,conti-groupama-fdj.fr,-,20,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,0,0,"(203,573,202,210,216)",(),0,,0.0,
207,Vendée U,Vendée U Primeo Energie,vdu,VDU,1,3,vendeeu.fr,-,20,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,0,0,"(202,203)",(),0,,0.0,
209,Lotto - Wanty,Lotto - Groupe Wanty,lwd,LWD,1,4,lotto-devteam.be,-,20,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,0,0,"(573,202)",(),0,,0.0,
210,Soudal DT,Soudal - QuickStep Devo Team,sqd,SQD,1,4,soudal-quickstep-dev.be,-,20,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
211,Lidl - Trek Future,Lidl - Trek Future Racing,ltf,LTF,1,7,lidl-trek-future.com,-,20,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
212,XDS Astana DT,XDS Astana Development Team,xad,XAD,1,13,xdsastana-dt.com,-,20,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
213,Bahrain Victorious DT,Bahrain Victorious Development Team,bvd,BVD,1,106,bahrain-dt.it,-,20,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,0,0,"(589,590)",(),0,,0.0,
214,Visma | Lease a Bike DT,Team Visma | Lease a Bike Development,vld,VLD,1,5,visma-leasebike-dt.nl,-,20,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,0,0,"(202,203,618)",(),0,,0.0,
215,DT Picnic PostNL,Development Team Picnic PostNL,dpp,DPP,1,5,devteam-picnic-postnl.com,-,20,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,0,0,"(203,210,573)",(),0,,0.0,
216,UAE Emirates Gen Z,UAE Team Emirates Gen Z,uaz,UAZ,1,105,uae-teamemirates-u23.com,-,20,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
223,Novo Nordisk Dev,Team Novo Nordisk Development,tnd,TND,1,6,novonordisk-dev.com,-,20,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
225,Tudor U23,Tudor Pro Cycling Team U23,tuu,TUU,1,17,tudor-u23.ch,-,20,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
233,Red Bull - BORA U23,Red Bull - BORA - hansgrohe Rookies,rbc,RBC,1,7,redbull-bora-rookies.com,-,20,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
237,Alpecin DT,Alpecin-Premier Tech Development Team,apd,APD,1,4,alpecin-devteam.be,-,20,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
242,NSN Development,NSN Development Team,nsd,NSD,1,17,nsn-devteam.com,-,20,0,0,0,0,0,,0,0,0,0.0,0.0,0.0,1,0,0,0,(),(),0,,0.0,
